"Item","Number of consumer units (in thousands)","Income before taxes","Age of reference person","People","Children under 18","Adults 65 and older","Earners","Vehicles","Percent homeowner","Average annual expenditures","Food","Food at home","Cereals and bakery products","Meats, poultry, fish, and eggs","Dairy products","Fruits and vegetables","Other food at home","Food away from home","Alcoholic beverages","Housing","Shelter","Owned dwellings","Rented dwellings","Other lodging","Utilities, fuels, and public services","Household operations","Housekeeping supplies","Household furnishings and equipment","Apparel and services","Transportation","Vehicle purchases (net outlay)","Gasoline, other fuels, and motor oil","Other vehicle expenses","Public and other transportation","Healthcare","Entertainment","Personal care products and services","Reading","Education","Tobacco products and smoking supplies","Miscellaneous","Cash contributions","Personal insurance and pensions","Life and other personal insurance","Pensions and Social Security","region"
"All consumer
units in the
Midwest","27896.00","69473.00","51.20","2.40","0.60","0.40","1.30","2.10","67.00","56114.00","7157.00","4028.00","528.00","829.00","435.00","740.00","1497.00","3130.00","518.00","17408.00","9716.00","6165.00","2847.00","704.00","3748.00","1241.00","705.00","1999.00","1680.00","9058.00","3617.00","1902.00","2987.00","551.00","5111.00","3182.00","739.00","114.00","1256.00","397.00","969.00","1865.00","6660.00","404.00","6255.00","midwest"
"Chicago","3749.00","76639.00","49.90","2.50","0.60","0.40","1.30","1.60","63.00","60582.00","8170.00","4518.00","539.00","977.00","453.00","954.00","1595.00","3652.00","509.00","21254.00","13546.00","8455.00","4209.00","882.00","3755.00","1417.00","692.00","1844.00","1987.00","7717.00","2850.00","1770.00","2323.00","774.00","5154.00","3328.00","958.00","129.00","1673.00","216.00","1034.00","1685.00","6768.00","303.00","6465.00","midwest"
"Detroit","1957.00","80928.00","52.90","2.40","0.50","0.40","1.30","1.90","66.00","60183.00","7397.00","4113.00","563.00","887.00","392.00","809.00","1463.00","3284.00","658.00","18794.00","10429.00","6223.00","3361.00","846.00","4131.00","1515.00","713.00","2006.00","2102.00","10426.00","3409.00","1943.00","4307.00","768.00","5079.00","3002.00","848.00","94.00","1531.00","551.00","977.00","1526.00","7199.00","546.00","6653.00","midwest"
"Minneapolis-
St. Paul","1633.00","91298.00","48.90","2.40","0.50","0.30","1.60","2.40","64.00","70487.00","8571.00","4712.00","596.00","915.00","485.00","973.00","1743.00","3859.00","754.00","22782.00","13901.00","8591.00","4187.00","1123.00","3554.00","1696.00","786.00","2845.00","1967.00","9409.00","3769.00","1976.00","2885.00","778.00","6242.00","4263.00","938.00","145.00","1526.00","367.00","1155.00","4269.00","8099.00","461.00","7638.00","midwest"
"St. Louis","1161.00","76108.00","50.40","2.30","0.50","0.40","1.30","2.10","75.00","62394.00","7300.00","4034.00","505.00","823.00","373.00","728.00","1605.00","3266.00","684.00","20154.00","10350.00","7172.00","2469.00","709.00","4222.00","1439.00","679.00","3465.00","1567.00","9958.00","4408.00","1981.00","2948.00","621.00","4828.00","3061.00","794.00","227.00","927.00","363.00","1577.00","4201.00","6754.00","393.00","6361.00","midwest"
"All consumer
units in the 
South","49841.00","67297.00","50.70","2.40","0.60","0.40","1.20","1.80","64.00","53740.00","6921.00","3892.00","500.00","884.00","376.00","724.00","1407.00","3030.00","421.00","17383.00","9797.00","5659.00","3463.00","675.00","3864.00","1339.00","674.00","1709.00","1691.00","9323.00","4204.00","1949.00","2688.00","482.00","4473.00","2741.00","668.00","95.00","1088.00","336.00","779.00","1773.00","6047.00","350.00","5697.00","south"
"Washington
D.C.","2303.00","113834.00","49.10","2.50","0.60","0.30","1.50","1.70","62.00","79921.00","9188.00","4703.00","556.00","1042.00","463.00","941.00","1701.00","4485.00","662.00","29101.00","19571.00","12153.00","5679.00","1739.00","4154.00","2776.00","750.00","1851.00","2668.00","10748.00","4069.00","1894.00","3149.00","1636.00","5594.00","3778.00","1018.00","195.00","2033.00","192.00","1558.00","2426.00","10760.00","511.00","10249.00","south"
"Baltimore","995.00","91988.00","52.10","2.50","0.60","0.40","1.40","1.90","70.00","69126.00","8964.00","4443.00","551.00","956.00","428.00","1008.00","1499.00","4521.00","724.00","23247.00","14800.00","9582.00","4200.00","1018.00","4021.00","1864.00","654.00","1908.00","1914.00","11049.00","5491.00","2117.00","2590.00","851.00","4926.00","3068.00","861.00","160.00","1617.00","270.00","913.00","1502.00","9910.00","472.00","9439.00","south"
"Atlanta","1966.00","90502.00","47.70","2.70","0.80","0.30","1.40","1.80","61.00","62250.00","6683.00","3699.00","443.00","890.00","344.00","672.00","1351.00","2984.00","385.00","20965.00","12346.00","7292.00","4177.00","877.00","4363.00","1728.00","624.00","1904.00","1874.00","11747.00","5287.00","2494.00","3307.00","660.00","4447.00","3000.00","670.00","87.00","1319.00","222.00","771.00","1945.00","8136.00","327.00","7808.00","south"
"Miami","2222.00","86655.00","54.20","2.40","0.40","0.40","1.30","1.50","58.00","59947.00","7040.00","4118.00","524.00","1126.00","378.00","880.00","1210.00","2922.00","487.00","22620.00","14759.00","7416.00","6095.00","1248.00","3845.00","1746.00","564.00","1706.00","2602.00","7963.00","2179.00","2160.00","2837.00","786.00","4405.00","2245.00","866.00","56.00","563.00","166.00","1263.00","933.00","8739.00","272.00","8467.00","south"
