Item,Number of consumer units (in thousands),Income before taxes,Age of reference person,People,Children under 18,Adults 65 and older,Earners,Vehicles,Percent homeowner,Average annual expenditures,Food,Food at home,Cereals and bakery products,"Meats, poultry, fish, and eggs",Dairy products,Fruits and vegetables,Other food at home,Food away from home,Alcoholic beverages,Housing,Shelter,Owned dwellings,Rented dwellings,Other lodging,"Utilities, fuels, and public services",Household operations,Housekeeping supplies,Household furnishings and equipment,Apparel and services,Transportation,Vehicle purchases (net outlay),"Gasoline, other fuels, and motor oil",Other vehicle expenses,Public and other transportation,Healthcare,Entertainment,Personal care products and services,Reading,Education,Tobacco products and smoking supplies,Miscellaneous,Cash contributions,Personal insurance and pensions,Life and other personal insurance,Pensions and Social Security
"All consumer
units in the
Midwest","27,896","$69,473",51.2,2.4,.6,.4,1.3,2.1,67,"$56,114","7,157","4,028",528,829,435,740,"1,497","3,130",518,"17,408","9,716","6,165","2,847",704,"3,748","1,241",705,"1,999","1,680","9,058","3,617","1,902","2,987",551,"5,111","3,182",739,114,"1,256",397,969,"1,865","6,660",404,"6,255"
Chicago,"3,749","$76,639",49.9,2.5,.6,.4,1.3,1.6,63,"$60,582","8,170","4,518",539,977,453,954,"1,595","3,652",509,"21,254","13,546","8,455","4,209",882,"3,755","1,417",692,"1,844","1,987","7,717","2,850","1,770","2,323",774,"5,154","3,328",958,129,"1,673",216,"1,034","1,685","6,768",303,"6,465"
Detroit,"1,957","$80,928",52.9,2.4,.5,.4,1.3,1.9,66,"$60,183","7,397","4,113",563,887,392,809,"1,463","3,284",658,"18,794","10,429","6,223","3,361",846,"4,131","1,515",713,"2,006","2,102","10,426","3,409","1,943","4,307",768,"5,079","3,002",848,94,"1,531",551,977,"1,526","7,199",546,"6,653"
"Minneapolis-
St. Paul","1,633","$91,298",48.9,2.4,.5,.3,1.6,2.4,64,"$70,487","8,571","4,712",596,915,485,973,"1,743","3,859",754,"22,782","13,901","8,591","4,187","1,123","3,554","1,696",786,"2,845","1,967","9,409","3,769","1,976","2,885",778,"6,242","4,263",938,145,"1,526",367,"1,155","4,269","8,099",461,"7,638"
St. Louis,"1,161","$76,108",50.4,2.3,.5,.4,1.3,2.1,75,"$62,394","7,300","4,034",505,823,373,728,"1,605","3,266",684,"20,154","10,350","7,172","2,469",709,"4,222","1,439",679,"3,465","1,567","9,958","4,408","1,981","2,948",621,"4,828","3,061",794,227,927,363,"1,577","4,201","6,754",393,"6,361"
"All consumer
units in the 
South","49,841","$67,297",50.7,2.4,.6,.4,1.2,1.8,64,"$53,740","6,921","3,892",500,884,376,724,"1,407","3,030",421,"17,383","9,797","5,659","3,463",675,"3,864","1,339",674,"1,709","1,691","9,323","4,204","1,949","2,688",482,"4,473","2,741",668,95,"1,088",336,779,"1,773","6,047",350,"5,697"
"Washington
D.C.","2,303","$113,834",49.1,2.5,.6,.3,1.5,1.7,62,"$79,921","9,188","4,703",556,"1,042",463,941,"1,701","4,485",662,"29,101","19,571","12,153","5,679","1,739","4,154","2,776",750,"1,851","2,668","10,748","4,069","1,894","3,149","1,636","5,594","3,778","1,018",195,"2,033",192,"1,558","2,426","10,760",511,"10,249"
Baltimore,995,"$91,988",52.1,2.5,.6,.4,1.4,1.9,70,"$69,126","8,964","4,443",551,956,428,"1,008","1,499","4,521",724,"23,247","14,800","9,582","4,200","1,018","4,021","1,864",654,"1,908","1,914","11,049","5,491","2,117","2,590",851,"4,926","3,068",861,160,"1,617",270,913,"1,502","9,910",472,"9,439"
Atlanta,"1,966","$90,502",47.7,2.7,.8,.3,1.4,1.8,61,"$62,250","6,683","3,699",443,890,344,672,"1,351","2,984",385,"20,965","12,346","7,292","4,177",877,"4,363","1,728",624,"1,904","1,874","11,747","5,287","2,494","3,307",660,"4,447","3,000",670,87,"1,319",222,771,"1,945","8,136",327,"7,808"
Miami,"2,222","$86,655",54.2,2.4,.4,.4,1.3,1.5,58,"$59,947","7,040","4,118",524,"1,126",378,880,"1,210","2,922",487,"22,620","14,759","7,416","6,095","1,248","3,845","1,746",564,"1,706","2,602","7,963","2,179","2,160","2,837",786,"4,405","2,245",866,56,563,166,"1,263",933,"8,739",272,"8,467"
"Dallas-
Fort Worth","2,765","$78,842",46.9,2.5,.6,.2,1.4,1.6,53,"$63,207","6,571","3,433",393,846,299,665,"1,230","3,139",576,"22,350","13,869","6,646","6,506",717,"4,182","1,460",736,"2,103","2,353","10,507","4,482","2,117","3,336",572,"4,479","3,333",778,110,"1,662",230,"1,150","1,517","7,592",245,"7,348"
Houston,"2,533","$80,250",46.8,2.8,.8,.3,1.4,1.7,59,"$67,304","9,153","4,491",568,"1,087",373,905,"1,558","4,662",650,"21,818","12,823","7,138","4,915",771,"4,226","1,526",808,"2,436","2,606","12,232","5,469","2,241","3,732",790,"4,517","3,413",844,93,"1,474",260,974,"2,093","7,177",252,"6,926"
Tampa,"1,199","$60,340",54.4,2.2,.5,.5,1.1,1.5,57,"$48,654","6,289","3,615",462,933,388,650,"1,182","2,675",417,"17,131","10,220","5,107","4,821",293,"3,365","1,773",633,"1,140","1,346","8,307","3,697","1,555","2,752",304,"3,782","2,100",612,a/ 27,658,268,944,996,"5,776",249,"5,527"
"All consumer
units in the
Northeast","23,437","$80,741",52.5,2.4,.5,.4,1.3,1.6,60,"$62,391","7,611","4,418",594,977,468,891,"1,489","3,193",560,"22,063","14,006","8,123","4,820","1,063","3,999","1,507",683,"1,867","1,951","8,494","2,951","1,665","2,914",964,"4,889","2,952",729,107,"2,144",362,"1,088","2,187","7,254",429,"6,825"
New York,"7,493","$88,313",52.2,2.5,.5,.4,1.3,1.2,49,"$67,782","7,689","4,285",572,984,456,910,"1,364","3,404",499,"26,113","18,174","9,299","7,807","1,068","4,000","1,697",661,"1,582","2,291","7,907","1,777","1,378","3,167","1,586","4,681","2,672",791,105,"2,733",245,999,"3,329","7,727",465,"7,262"
Philadelphia,"2,437","$88,974",53.3,2.4,.5,.4,1.4,1.7,70,"$65,436","8,203","4,857",696,997,495,"1,033","1,637","3,345",492,"20,932","12,413","8,383","2,905","1,124","4,380","1,584",781,"1,775","2,125","9,505","3,617","1,843","3,245",801,"5,540","2,821",765,157,"2,702",401,"1,581","1,560","8,653",482,"8,171"
